row_id,section,page_slug,provider_or_product,source_url,metric_key,metric_label,metric_value_text,value_numeric,value_min,value_max,unit,tier,source_type,verification_date,is_headline,confidence,figure_status,notes
aviva-travel-insurance-review__emergency_medical__basic,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,emergency_medical,Emergency medical,£5m (Basic),5000000,,,GBP,Basic,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__emergency_medical__silver,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,emergency_medical,Emergency medical,£10m (Silver),10000000,,,GBP,Silver,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__emergency_medical__gold,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,emergency_medical,Emergency medical,£15m (Gold and Lifetime),15000000,,,GBP,Gold,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__emergency_medical__lifetime,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,emergency_medical,Emergency medical,£15m (Gold and Lifetime),15000000,,,GBP,Lifetime,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__cancellation__basic,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,cancellation,Cancellation and curtailment,"£1,000 (Basic)",1000,,,GBP,Basic,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__cancellation__silver,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,cancellation,Cancellation and curtailment,"£3,000 (Silver)",3000,,,GBP,Silver,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__cancellation__gold,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,cancellation,Cancellation and curtailment,"£5,000 (Gold and Lifetime)",5000,,,GBP,Gold,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__cancellation__lifetime,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,cancellation,Cancellation and curtailment,"£5,000 (Gold and Lifetime)",5000,,,GBP,Lifetime,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__baggage__basic,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,baggage,Baggage and belongings,£500 (Basic),500,,,GBP,Basic,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__baggage__silver,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,baggage,Baggage and belongings,"£1,500 (Silver)",1500,,,GBP,Silver,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__baggage__gold,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,baggage,Baggage and belongings,"£2,500 (Gold and Lifetime)",2500,,,GBP,Gold,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__baggage__lifetime,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,baggage,Baggage and belongings,"£2,500 (Gold and Lifetime)",2500,,,GBP,Lifetime,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__personal_money,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,,Personal money,£250 · £500 · £750 by tier,250,,,GBP,,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__personal_liability__basic,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,personal_liability,Personal liability,£1m (Basic),1000000,,,GBP,Basic,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__personal_liability__silver-and-above,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,personal_liability,Personal liability,£2m (Silver and above),2000000,,,GBP,Silver and above,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__policy_excess__basic,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,policy_excess,Standard excess,£150 (Basic),150,,,GBP,Basic,own_review,2026-08-16,false,high,current,Policy/standard excess (not medical-only)
aviva-travel-insurance-review__policy_excess__silver,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,policy_excess,Standard excess,£100 (Silver),100,,,GBP,Silver,own_review,2026-08-16,false,high,current,Policy/standard excess (not medical-only)
aviva-travel-insurance-review__policy_excess__gold,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,policy_excess,Standard excess,£75 (Gold and Lifetime),75,,,GBP,Gold,own_review,2026-08-16,false,high,current,Policy/standard excess (not medical-only)
aviva-travel-insurance-review__policy_excess__lifetime,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,policy_excess,Standard excess,£75 (Gold and Lifetime),75,,,GBP,Lifetime,own_review,2026-08-16,false,high,current,Policy/standard excess (not medical-only)
aviva-travel-insurance-review__trip_length_days,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,trip_length_days,Single trip length,Up to 120 consecutive days,,,,,,own_review,2026-08-16,false,medium,current,
aviva-travel-insurance-review__trip_length_days__dup2,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,trip_length_days,Annual multi-trip,"31 days per trip as standard, extendable to 60 or 90 days for extra premium",,,,,,own_review,2026-08-16,false,high,current,
aviva-travel-insurance-review__age_limit,Travel Insurance,aviva-travel-insurance-review,Aviva Travel Insurance Review,https://compare100.com/aviva-travel-insurance-review/,age_limit,Upper age limit,None on single trip; annual multi-trip capped at 79 for new policies,,,,,,own_review,2026-08-16,false,high,current,
compare-your-travel-insurance__emergency_medical,Travel Insurance,compare-your-travel-insurance,"Compare Your Travel Insurance Review: 26 Insurers, One Gibraltar Licence",https://compare100.com/compare-your-travel-insurance/,emergency_medical,Emergency medical cover,£5m to £20m across the named panel — Post Office Economy up to Admiral Platinum,,5000000,20000000,GBP,,panel_listing,2026-09-17,true,medium,current,Read off panel listing not insurer wording
compare-your-travel-insurance__operator,Travel Insurance,compare-your-travel-insurance,"Compare Your Travel Insurance Review: 26 Insurers, One Gibraltar Licence",https://compare100.com/compare-your-travel-insurance/,operator,Sold by,"Aequotech Limited, Gibraltar (company 111831, GFSC licence 20376, UK firm reference 677661)",,,,,,own_review,2026-09-17,false,high,current,
compare-your-travel-insurance__network_size,Travel Insurance,compare-your-travel-insurance,"Compare Your Travel Insurance Review: 26 Insurers, One Gibraltar Licence",https://compare100.com/compare-your-travel-insurance/,network_size,Panel,"26 named providers, all required to be FCA-authorised; site advertises 200+ prices",,,,,,panel_listing,2026-09-17,false,medium,current,Read off panel listing not insurer wording
compare-your-travel-insurance__price_from,Travel Insurance,compare-your-travel-insurance,"Compare Your Travel Insurance Review: 26 Insurers, One Gibraltar Licence",https://compare100.com/compare-your-travel-insurance/,price_from,Cheapest quote advertised,"£8.23, single trip",8.23,,,GBP,,panel_listing,2026-09-17,false,medium,current,Read off panel listing not insurer wording
compare-your-travel-insurance__trip_length_days,Travel Insurance,compare-your-travel-insurance,"Compare Your Travel Insurance Review: 26 Insurers, One Gibraltar Licence",https://compare100.com/compare-your-travel-insurance/,trip_length_days,Longest single trip,"94 days; duration bands of 35 days, 36–60 days and 61 days or more",,,,,,own_review,2026-09-17,false,high,current,
compare-your-travel-insurance__cooling_off_days,Travel Insurance,compare-your-travel-insurance,"Compare Your Travel Insurance Review: 26 Insurers, One Gibraltar Licence",https://compare100.com/compare-your-travel-insurance/,cooling_off_days,Right to cancel,14 days on any policy bought through the panel,,,,,,panel_listing,2026-09-17,false,medium,current,Read off panel listing not insurer wording
compare-your-travel-insurance__complaint_window,Travel Insurance,compare-your-travel-insurance,"Compare Your Travel Insurance Review: 26 Insurers, One Gibraltar Licence",https://compare100.com/compare-your-travel-insurance/,complaint_window,Complaints,Acknowledged within 5 working days; Ombudsman route offered after 8 weeks,,,,,,own_review,2026-09-17,false,high,current,
compare-your-travel-insurance__trading_since,Travel Insurance,compare-your-travel-insurance,"Compare Your Travel Insurance Review: 26 Insurers, One Gibraltar Licence",https://compare100.com/compare-your-travel-insurance/,trading_since,Trading since,Site says 2013; the Gibraltar company was incorporated 18 July 2014,,,,,,own_review,2026-09-17,false,high,current,
coverwise-travel-insurance__emergency_medical,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,emergency_medical,Emergency medical cover,"£20,000,000 on all five levels — Standard Plus to Platinum. Excess £100, £50 or nil",,,,,,own_review,2026-09-18,true,high,current,
coverwise-travel-insurance__operator,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,operator,Sold by,"Coverwise Limited, Gibraltar (company 103717, FSC registration FSC1107B, UK firm reference 533101)",,,,,,own_review,2026-09-18,false,high,current,
coverwise-travel-insurance__underwriter,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,underwriter,Underwritten by,"Inter Partner Assistance S.A. UK Branch (AXA Group, firm reference 202664) or AWP P&C S.A. (Allianz, firm reference 534384) depending on the scheme",,,,,,own_review,2026-09-18,false,high,current,
coverwise-travel-insurance__emergency_medical__dup2,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,emergency_medical,Emergency medical,"£20,000,000 on every level; excess £100, £50 or nil",20000000,,,GBP,,own_review,2026-09-18,false,high,current,
coverwise-travel-insurance__cancellation,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,cancellation,Cancellation cover,"£1,000 on Standard Plus rising to £6,000 on Platinum",,,,,,own_review,2026-09-18,false,high,current,
coverwise-travel-insurance__price_from,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,price_from,Cheapest advertised price,"£3.60 single trip (age 20–40, Europe, 4 days); £10.95 annual (age 26–30)",3.6,,,GBP,,own_review,2026-09-18,false,high,current,
coverwise-travel-insurance__age_limit,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,age_limit,Age ceilings,Annual multi-trip closes at 66; single trip closes at 76,,,,,,own_review,2026-09-18,false,high,current,
coverwise-travel-insurance__trip_length_days,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,trip_length_days,Trip length,"24 days per trip on the two lower levels, 31 days on the three upper ones; winter sports capped at 17 days a year",,,,,,own_review,2026-09-18,false,high,current,
coverwise-travel-insurance__cooling_off_days,Travel Insurance,coverwise-travel-insurance,"Coverwise Travel Insurance Review: Five Levels, One Medical Limit",https://compare100.com/coverwise-travel-insurance/,cooling_off_days,Right to cancel,"14 days from receiving the documents, and no refund at all after that",,,,,,own_review,2026-09-18,false,high,current,
insuremore-travel-insurance-review__emergency_medical,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,emergency_medical,Emergency medical cover,"£12,000,000 on Holiday Travel+, £50 excess",12000000,,,GBP,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__operator,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,operator,Sold by,"Virtual Insurance Products Ltd, Totnes (company 04233964, FRN 307038)",,,,,,own_review,2026-08-31,false,high,current,
