page_slug | section | provider_or_product | verification_date | has_headline | key_facts
--------------------------------------------------------------------------------------------------------------
aa-car-check | HPI Checks | AA Car Check | 2026-09-21 | yes | 11
aa-vehicle-inspections | Vehicle Inspections | AA Vehicle Inspections Review: £110 to £339, With a Battery Test | 2026-09-15 | yes | 9
about-us | (none) | About Compare100 | 2026-08-16 | no | 9
admiral-car-insurance-review | Car Insurance Deals | Admiral Car Insurance Review | 2026-08-16 | no | 11
admiral-home-insurance-review | Home Insurance | Admiral Home Insurance Review: Buildings and Contents Cover | 2026-08-16 | no | 10
admiral-motorbike-insurance-review | Motorbike Insurance | Admiral Motorbike Insurance Review | 2026-08-16 | no | 9
admiral-van-insurance-review | Van Insurance | Admiral Van Insurance Review | 2026-08-16 | no | 8
aldermore-savings-account | Savings Accounts | Aldermore Savings Accounts: The Fixed-Term Specialist | 2026-08-15 | no | 13
aph-airport-parking | Airport Parking | APH Airport Parking Review | 2026-09-15 | yes | 9
auto-trader-cars-for-sale | Cars for Sale | Auto Trader Cars for Sale | 2026-08-15 | no | 14
aviva-car-insurance-review | Car Insurance Deals | Aviva Car Insurance | 2026-08-22 | no | 8
aviva-landlord-insurance-review | Landlord's Insurance | Aviva Landlord Insurance Review | 2026-08-26 | no | 10
aviva-over-50s-insurance | Over 50's Insurance | Aviva Over 50s Life Insurance Review | 2026-09-01 | no | 10
aviva-travel-insurance-review | Travel Insurance | Aviva Travel Insurance Review | 2026-08-16 | no | 11
axa-home-insurance-review | Home Insurance | AXA Home Insurance Review | 2026-08-23 | no | 9
axa-landlord-insurance-review | Landlord's Insurance | AXA Landlord Insurance Review | 2026-08-26 | no | 10
axa-tradesman-insurance-review | Tradesman Insurance | AXA Tradesman Insurance Review | 2026-09-02 | no | 10
barclays-personal-loan | Loans | Barclays Personal Loan: the Rate You Only See Once You Bank There | 2026-09-13 | yes | 6
branded-beauty-luxe-beauty-deals | Health and Beauty | Branded Beauty Review: Clearance Prices on High Street Makeup Brands | 2026-09-17 | yes | 8
breeze-esim-review | SIM Only | breeze eSIM Review: Plans, Networks and the Small Print | 2026-09-06 | no | 10
british-seniors-over-50s-insurance | Over 50's Insurance | British Seniors Over 50s Life Insurance Review | 2026-09-14 | yes | 15
brittany-ferries-ferry-tickets | Ferry Tickets | Brittany Ferries Ferry Tickets: Routes, Fares and the Rules Behind Them | 2026-09-07 | no | 12
business-mobiles-deals | Business Mobiles | BusinessMobiles.com Review: Business Contracts Across EE, O2, Vodafone and Three | 2026-09-06 | no | 10
carmoola-car-finance | Car Finance | Carmoola Car Finance Review: Rates, Limits and What It Won't Fund | 2026-09-04 | no | 12
carphone-warehouse-new-phone-contract-deals | New Phone Contract | Carphone Warehouse New Phone Contract Deals: The Real 24-Month Cost | 2026-09-04 | no | 12
carphone-warehouse-phones | Just Phones | Carphone Warehouse Phones: Prices, Networks and the Small Print | 2026-09-04 | no | 10
